user_id,prakriti_type,age,gender,stress_level,sleep_hours,activity_level,diet_type,meditation_minutes,profile_created_at,date,transaction_description,category,amount,type,Finance_Health_Score,Prakriti_Index,Sustainability_Score
92,Pitta,30,F,High,5.2,Moderate,Mixed,0,31-05-2025,27-05-2020,Deal information.,Food & Drink,1339.05,Expense,0,2,20
93,Pitta,40,F,High,8,Active,Non-Vegetarian,1,05-04-2025,28-05-2020,Task she.,Rent,1878.47,Expense,0,2,20
94,Pitta,31,M,High,6.7,Moderate,Mixed,0,11-05-2025,29-05-2020,Accept goal send table.,Investment,1376,Income,0,2,20
95,Kapha,52,M,Low,7.4,Sedentary,Mixed,3,19-10-2024,30-05-2020,Section national owner determine detail.,Utilities,551.97,Expense,0,3,30
96,Vata,38,F,Medium,8.8,Active,Vegetarian,2,21-05-2024,31-05-2020,Ahead from quickly identify.,Health & Fitness,415.16,Expense,0,1,10
97,Vata,19,M,Medium,6.5,Sedentary,Mixed,1,07-08-2024,31-05-2020,Try wonder move trade.,Travel,1015.76,Expense,0,1,10
98,Vata,32,F,Medium,9.1,Active,Non-Vegetarian,0,01-03-2025,01-06-2020,Base investment.,Food & Drink,193.67,Expense,0,1,10
99,Vata,18,M,High,5.9,Moderate,Mixed,0,21-01-2024,02-06-2020,Anyone here deep.,Travel,97.73,Expense,0,1,10
100,Kapha,18,F,Medium,5.6,Moderate,Non-Vegetarian,2,03-02-2025,05-06-2020,Seven here sell story.,Utilities,1277.86,Expense,0,3,30
,,,,,,,,,,06-06-2020,Like see.,Salary,1107.84,Expense,0,,
,,,,,,,,,,07-06-2020,Difference attention whatever american.,Food & Drink,232.63,Expense,0,,
,,,,,,,,,,08-06-2020,Current after charge.,Utilities,1095.72,Expense,0,,
,,,,,,,,,,09-06-2020,Prove nor design record.,Utilities,865.28,Expense,0,,
,,,,,,,,,,09-06-2020,Paper white responsibility.,Other,826,Income,0,,
,,,,,,,,,,10-06-2020,Blue agent find.,Entertainment,1367.31,Expense,0,,
,,,,,,,,,,10-06-2020,Walk cup option store.,Health & Fitness,1562.43,Expense,0,,
,,,,,,,,,,11-06-2020,Recent feeling.,Shopping,1947.94,Expense,0,,
,,,,,,,,,,11-06-2020,Site girl into have media.,Entertainment,1730.57,Expense,0,,
,,,,,,,,,,12-06-2020,Support state.,Utilities,1764.02,Expense,0,,
,,,,,,,,,,14-06-2020,Whether player stock religious.,Other,3872,Income,0,,
,,,,,,,,,,15-06-2020,Safe whole establish.,Entertainment,540.94,Expense,0,,
,,,,,,,,,,18-06-2020,Let stay or focus.,Rent,771.26,Expense,0,,
,,,,,,,,,,18-06-2020,Everything late.,Other,2322,Income,0,,
,,,,,,,,,,18-06-2020,Particular her agreement surface consider.,Other,3364,Income,0,,
,,,,,,,,,,19-06-2020,Something future they red.,Entertainment,453.62,Expense,0,,
,,,,,,,,,,19-06-2020,Act way beat result major.,Shopping,663.24,Expense,0,,
,,,,,,,,,,21-06-2020,Position make society behavior.,Travel,708.78,Expense,0,,
,,,,,,,,,,21-06-2020,Reality fill ok list.,Health & Fitness,1879.08,Expense,0,,
,,,,,,,,,,22-06-2020,International second former reflect.,Other,1962,Income,0,,
,,,,,,,,,,22-06-2020,Edge building court.,Travel,86.13,Expense,0,,
,,,,,,,,,,24-06-2020,Week real course school everybody.,Health & Fitness,1459.8,Expense,0,,
,,,,,,,,,,30-06-2020,Executive beyond create dinner conference.,Rent,776.54,Expense,0,,
,,,,,,,,,,30-06-2020,Call animal approach factor want.,Travel,98.33,Expense,0,,
,,,,,,,,,,02-07-2020,Their off.,Entertainment,734.8,Expense,0,,
,,,,,,,,,,03-07-2020,Key continue anything wait.,Other,3071,Income,0,,
,,,,,,,,,,04-07-2020,State husband.,Rent,1442.31,Expense,0,,
,,,,,,,,,,05-07-2020,Picture approach chance none fight.,Travel,1337.12,Expense,0,,
,,,,,,,,,,06-07-2020,Newspaper indicate other.,Travel,1113.28,Expense,0,,
,,,,,,,,,,06-07-2020,Herself training father open investment.,Other,1925,Income,0,,
,,,,,,,,,,08-07-2020,Art whether between several personal.,Travel,818.09,Expense,0,,
,,,,,,,,,,11-07-2020,Church community.,Travel,580.96,Expense,0,,
,,,,,,,,,,12-07-2020,Able late order.,Health & Fitness,935.33,Expense,0,,
,,,,,,,,,,12-07-2020,Discuss religious.,Entertainment,1027.24,Expense,0,,
,,,,,,,,,,13-07-2020,Reach under.,Utilities,1321.11,Expense,0,,
,,,,,,,,,,17-07-2020,Boy different chance enter.,Health & Fitness,195.84,Expense,0,,
,,,,,,,,,,20-07-2020,Arrive society.,Entertainment,1348.86,Expense,0,,
,,,,,,,,,,21-07-2020,Keep light fight.,Entertainment,303.23,Expense,0,,
,,,,,,,,,,21-07-2020,Matter management ball.,Other,1096,Income,0,,
,,,,,,,,,,22-07-2020,Same page ago director.,Entertainment,1439.51,Expense,0,,
,,,,,,,,,,22-07-2020,Week yourself public especially american.,Shopping,495.53,Expense,0,,
,,,,,,,,,,22-07-2020,Million kind everything young.,Food & Drink,1786.39,Expense,0,,
,,,,,,,,,,23-07-2020,Why like impact fly.,Rent,1559.06,Expense,0,,
,,,,,,,,,,24-07-2020,Form really explain.,Salary,109.93,Expense,0,,
,,,,,,,,,,28-07-2020,Already because education break significant.,Rent,918.36,Expense,0,,
,,,,,,,,,,28-07-2020,Price my.,Health & Fitness,1900.58,Expense,0,,
,,,,,,,,,,29-07-2020,Could gun.,Shopping,1662.83,Expense,0,,
,,,,,,,,,,30-07-2020,Kind appear environment capital explain.,Utilities,1489.87,Expense,0,,
,,,,,,,,,,31-07-2020,Ahead picture son.,Travel,1506.04,Expense,0,,
,,,,,,,,,,01-08-2020,Nearly need behavior.,Travel,1533.97,Expense,0,,
,,,,,,,,,,01-08-2020,Water positive child usually.,Entertainment,556.45,Expense,0,,
,,,,,,,,,,01-08-2020,Relate indeed lot line lead.,Other,2420,Income,0,,
,,,,,,,,,,02-08-2020,Course out second carry.,Health & Fitness,1787.12,Expense,0,,
,,,,,,,,,,03-08-2020,Significant take future.,Investment,2394,Income,0,,
,,,,,,,,,,04-08-2020,Star executive fear.,Utilities,1415.77,Expense,0,,
,,,,,,,,,,04-08-2020,Your majority chance mrs generation.,Other,3210,Income,0,,
,,,,,,,,,,04-08-2020,Help usually thank wonder draw.,Shopping,133.91,Expense,0,,
,,,,,,,,,,05-08-2020,Task improve fish.,Shopping,1810.63,Expense,0,,
,,,,,,,,,,05-08-2020,History professional star wonder.,Food & Drink,1714.9,Expense,0,,
,,,,,,,,,,06-08-2020,Call whole.,Shopping,959.19,Expense,0,,
,,,,,,,,,,08-08-2020,Them key.,Travel,1509.42,Expense,0,,
,,,,,,,,,,08-08-2020,Address century that wide.,Shopping,1081.06,Expense,0,,
,,,,,,,,,,09-08-2020,Sit enter perhaps however.,Entertainment,981.58,Expense,0,,
,,,,,,,,,,13-08-2020,System teacher here first.,Salary,67.76,Expense,0,,
,,,,,,,,,,14-08-2020,Along attention piece tv young.,Shopping,1451.12,Expense,0,,
,,,,,,,,,,16-08-2020,Within set region beyond.,Utilities,1961.64,Expense,0,,
,,,,,,,,,,17-08-2020,Tough animal someone.,Shopping,1187.87,Expense,0,,
,,,,,,,,,,18-08-2020,Hear certainly most not.,Rent,1289.07,Expense,0,,
,,,,,,,,,,19-08-2020,Company participant him.,Other,1988,Income,0,,
,,,,,,,,,,20-08-2020,Tree central leave effect.,Other,3181,Income,0,,
,,,,,,,,,,21-08-2020,Together let.,Health & Fitness,681.63,Expense,0,,
,,,,,,,,,,21-08-2020,Citizen kid generation onto police.,Travel,1506.5,Expense,0,,
,,,,,,,,,,22-08-2020,Lead few yourself.,Travel,1671.47,Expense,0,,
,,,,,,,,,,22-08-2020,Down occur.,Food & Drink,1999.82,Expense,0,,
,,,,,,,,,,26-08-2020,Yeah far within.,Rent,1564.65,Expense,0,,
,,,,,,,,,,27-08-2020,Account ten sing.,Food & Drink,1899.73,Expense,0,,
,,,,,,,,,,27-08-2020,Seat strategy total simply discover.,Investment,1748,Income,0,,
,,,,,,,,,,29-08-2020,Pm per question.,Salary,1342.22,Expense,0,,
,,,,,,,,,,30-08-2020,Best physical always small almost.,Entertainment,935.42,Expense,0,,
,,,,,,,,,,31-08-2020,Bed far section.,Health & Fitness,343.9,Expense,0,,
,,,,,,,,,,01-09-2020,Car much will.,Rent,1557.81,Expense,0,,
,,,,,,,,,,05-09-2020,Tree store either station.,Other,1385,Income,0,,
,,,,,,,,,,05-09-2020,Second full boy.,Travel,1155.84,Expense,0,,
,,,,,,,,,,06-09-2020,Senior difficult put.,Shopping,799.34,Expense,0,,
,,,,,,,,,,07-09-2020,Hand so add mr lawyer.,Rent,1188.27,Expense,0,,
,,,,,,,,,,08-09-2020,Herself police he push likely.,Entertainment,212.78,Expense,0,,
,,,,,,,,,,11-09-2020,Trip determine as statement.,Rent,1594.49,Expense,0,,
,,,,,,,,,,11-09-2020,Bring animal also you.,Food & Drink,700.94,Expense,0,,
,,,,,,,,,,11-09-2020,Doctor mr.,Health & Fitness,147.22,Expense,0,,
,,,,,,,,,,16-09-2020,He we recent music.,Food & Drink,1700.66,Expense,0,,
,,,,,,,,,,17-09-2020,Those pressure street.,Rent,872.71,Expense,0,,
,,,,,,,,,,17-09-2020,Allow have kitchen.,Salary,1417.54,Expense,0,,
,,,,,,,,,,18-09-2020,Between rate name within.,Travel,1235.67,Expense,0,,
,,,,,,,,,,18-09-2020,Huge couple.,Salary,935.1,Expense,0,,
,,,,,,,,,,22-09-2020,Begin deep police wife.,Travel,651.39,Expense,0,,
,,,,,,,,,,22-09-2020,During call north attention.,Rent,565.07,Expense,0,,
,,,,,,,,,,22-09-2020,Only spend do.,Salary,1144,Expense,0,,
,,,,,,,,,,23-09-2020,Able teach certain candidate economy.,Health & Fitness,67.11,Expense,0,,
,,,,,,,,,,23-09-2020,Produce ago.,Utilities,980.22,Expense,0,,
,,,,,,,,,,25-09-2020,So draw food company.,Travel,687.27,Expense,0,,
,,,,,,,,,,27-09-2020,Score moment second.,Travel,1116.02,Expense,0,,
,,,,,,,,,,27-09-2020,Sing message board mean.,Entertainment,180.37,Expense,0,,
,,,,,,,,,,27-09-2020,Feeling poor all your suggest.,Salary,1114.8,Expense,0,,
,,,,,,,,,,29-09-2020,Make travel.,Salary,1295.35,Expense,0,,
,,,,,,,,,,30-09-2020,Focus chance.,Food & Drink,195.18,Expense,0,,
,,,,,,,,,,01-10-2020,Person one republican.,Entertainment,619.35,Expense,0,,
,,,,,,,,,,03-10-2020,Most law painting between reduce.,Salary,1111.41,Expense,0,,
,,,,,,,,,,04-10-2020,Involve thousand including.,Health & Fitness,710.1,Expense,0,,
,,,,,,,,,,07-10-2020,Indeed believe interview professor.,Travel,510.29,Expense,0,,
,,,,,,,,,,07-10-2020,Rather listen before.,Investment,3084,Income,0,,
,,,,,,,,,,07-10-2020,It season.,Investment,2069,Income,0,,
,,,,,,,,,,08-10-2020,News only no.,Salary,560.23,Expense,0,,
,,,,,,,,,,08-10-2020,Improve them wait.,Travel,1961.22,Expense,0,,
,,,,,,,,,,10-10-2020,Why outside.,Travel,462.69,Expense,0,,
,,,,,,,,,,10-10-2020,Official defense.,Investment,4875,Income,0,,
,,,,,,,,,,10-10-2020,Suggest glass news.,Investment,946,Income,0,,
,,,,,,,,,,12-10-2020,Off southern suddenly.,Utilities,1279.36,Expense,0,,
,,,,,,,,,,14-10-2020,Participant price.,Rent,1746.71,Expense,0,,
,,,,,,,,,,15-10-2020,Congress reflect.,Salary,962.64,Expense,0,,
,,,,,,,,,,16-10-2020,Go consider century price.,Food & Drink,512.43,Expense,0,,
,,,,,,,,,,16-10-2020,Scientist will begin.,Rent,1646.01,Expense,0,,
,,,,,,,,,,16-10-2020,Heavy law church.,Rent,1158.27,Expense,0,,
,,,,,,,,,,18-10-2020,Since nothing be apply.,Utilities,306.9,Expense,0,,
,,,,,,,,,,19-10-2020,Anyone bank kitchen interest parent.,Travel,179.51,Expense,0,,
,,,,,,,,,,23-10-2020,Democratic mention generation.,Shopping,1216.57,Expense,0,,
,,,,,,,,,,24-10-2020,Question or money.,Entertainment,1553.63,Expense,0,,
,,,,,,,,,,26-10-2020,Determine worker.,Salary,601.73,Expense,0,,
,,,,,,,,,,27-10-2020,Daughter war.,Shopping,617.71,Expense,0,,
,,,,,,,,,,27-10-2020,Face build market.,Rent,1895.7,Expense,0,,
,,,,,,,,,,27-10-2020,Can mouth discover.,Entertainment,536.65,Expense,0,,
,,,,,,,,,,28-10-2020,Author technology amount affect.,Investment,1923,Income,0,,
,,,,,,,,,,29-10-2020,Office of remember individual.,Utilities,15.32,Expense,0,,
,,,,,,,,,,30-10-2020,Again foot soon peace.,Salary,589.61,Expense,0,,
,,,,,,,,,,31-10-2020,Join black.,Travel,1408.95,Expense,0,,
,,,,,,,,,,01-11-2020,Hundred bad that second develop.,Entertainment,1848.58,Expense,0,,
,,,,,,,,,,01-11-2020,Member box.,Entertainment,856.03,Expense,0,,
,,,,,,,,,,02-11-2020,Town glass road.,Utilities,1817.74,Expense,0,,
,,,,,,,,,,04-11-2020,Bill eight community.,Rent,128.68,Expense,0,,
,,,,,,,,,,06-11-2020,Concern significant.,Travel,883.92,Expense,0,,
,,,,,,,,,,07-11-2020,Senior service large under.,Travel,1402.47,Expense,0,,
,,,,,,,,,,09-11-2020,Follow wife firm key light.,Salary,881.14,Expense,0,,
,,,,,,,,,,10-11-2020,Option goal avoid.,Shopping,1471.72,Expense,0,,
,,,,,,,,,,10-11-2020,Also hard expert popular.,Food & Drink,191.74,Expense,0,,
,,,,,,,,,,12-11-2020,Order his oil west school.,Food & Drink,1999.15,Expense,0,,
,,,,,,,,,,12-11-2020,Training occur could painting.,Travel,1156.73,Expense,0,,
,,,,,,,,,,14-11-2020,Whatever late specific.,Utilities,946.3,Expense,0,,
,,,,,,,,,,14-11-2020,Mean common.,Travel,371.16,Expense,0,,
,,,,,,,,,,14-11-2020,Yard model particular hair.,Salary,1938.42,Expense,0,,
,,,,,,,,,,14-11-2020,Impact full our smile.,Shopping,673.28,Expense,0,,
,,,,,,,,,,15-11-2020,Form newspaper.,Utilities,666.31,Expense,0,,
,,,,,,,,,,15-11-2020,Edge surface who.,Travel,1328.54,Expense,0,,
